0,0,0.24450047,0,0.346105536,0,0.372445426,0,0,0,0.396979981,0,0.300650166,0,0.360836693,0.106279988,0,0,0,0
0,0,0,0,0.361857106,0,0,0,0,0,0.342574173,0,0,0.283597843,0,0,0.130958667,0,0.278207042,0.364414984
0.24450047,0,0,0,0.102515201,0,0.323523077,0,0,0,0.18736971,0,0.391535011,0,0,0.21370344,0.362802705,0,0.212183767,0
0,0,0,0,0,0,0.365107083,0,0,0,0,0,0.355478595,0,0.314769802,0,0,0.279656106,0,0
0.346105536,0.361857106,0.102515201,0,0,0,0.36902596,0,0,0,0.155196715,0,0,0,0,0.313313462,0.275305639,0,0.145571073,0
0,0,0,0,0,0,0,0,0.340564452,0.315238242,0,0.203676043,0,0.22489139,0,0,0,0,0,0.177681803
0.372445426,0,0.323523077,0.365107083,0.36902596,0,0,0,0.357806076,0,0.257001686,0,0.199150401,0,0.255703517,0.266234315,0,0,0.322573353,0
0,0,0,0,0,0,0,0,0.362769665,0.153633674,0,0,0,0,0,0,0,0.291494101,0,0
0,0,0,0,0,0.340564452,0.357806076,0.362769665,0,0.266083233,0,0.158571372,0,0,0,0,0,0.297117537,0,0
0,0,0,0,0,0.315238242,0,0.153633674,0.266083233,0,0,0.294818938,0,0,0,0,0,0.337550096,0,0
0.396979981,0.342574173,0.18736971,0,0.155196715,0,0.257001686,0,0,0,0,0,0,0,0,0.323765671,0.218740811,0,0.067259666,0
0,0,0,0,0,0.203676043,0,0,0.158571372,0.294818938,0,0,0,0.312046881,0,0,0.363851274,0,0,0.316915251
0.300650166,0,0.391535011,0.355478595,0,0,0.199150401,0,0,0,0,0,0,0,0.077673703,0.215903259,0,0,0,0
0,0.283597843,0,0,0,0.22489139,0,0,0,0,0,0.312046881,0,0,0,0,0.311989033,0,0,0.080863552
0.360836693,0,0,0.314769802,0,0,0.255703517,0,0,0,0,0,0.077673703,0,0,0.28621825,0,0,0,0
0.106279988,0,0.21370344,0,0.313313462,0,0.266234315,0,0,0,0.323765671,0,0.215903259,0,0.28621825,0,0,0,0.378643717,0
0,0.130958667,0.362802705,0,0.275305639,0,0,0,0,0,0.218740811,0.363851274,0,0.311989033,0,0,0,0,0.15970619,0.387881938
0,0,0,0.279656106,0,0,0,0.291494101,0.297117537,0.337550096,0,0,0,0,0,0,0,0,0,0
0,0.278207042,0.212183767,0,0.145571073,0,0.322573353,0,0,0,0.067259666,0,0,0,0,0.378643717,0.15970619,0,0,0
0,0.364414984,0,0,0,0.177681803,0,0,0,0,0,0.316915251,0,0.080863552,0,0,0.387881938,0,0,0
